%yyyy.yyyy ___up(m)
2001.9740 0.160397
2001.9767 0.155718
2001.9795 0.158247
2001.9822 0.159459
2001.9849 0.169924
2001.9877 0.161869
2001.9904 0.168268
2001.9932 0.162344
2001.9959 0.166109
2001.9986 0.169370
2002.0014 0.167344
2002.0041 0.166619
2002.0068 0.168336
2002.0096 0.157456
2002.0123 0.163625
2002.0151 0.154876
2002.0178 0.156356
2002.0205 0.167582
2002.0233 0.165747
2002.0260 0.161955
2002.0287 0.163725
2002.0315 0.158842
2002.0342 0.153331
2002.0370 0.152498
2002.0397 0.155967
2002.0424 0.155511
2002.0452 0.155071
2002.0479 0.155021
2002.0507 0.154240
2002.0534 0.156196
2002.0561 0.159643
2002.0589 0.156586
2002.0616 0.156723
2002.0643 0.148267
2002.0671 0.159035
2002.0698 0.157731
2002.0726 0.159378
2002.0753 0.165205
2002.0780 0.163522
2002.0808 0.164698
2002.0835 0.165663
2002.0862 0.161797
2002.0890 0.159237
2002.0917 0.156915
2002.0945 0.155784
2002.0972 0.150414
2002.0999 0.146200
2002.1027 0.150434
2002.1054 0.158744
2002.1081 0.158849
2002.1109 0.157372
2002.1136 0.166269
2002.1164 0.163513
2002.1191 0.162868
2002.1218 0.156183
2002.1246 0.159388
2002.1273 0.158074
2002.1300 0.161016
2002.1328 0.157619
2002.1355 0.150241
2002.1383 0.151556
2002.1410 0.152103
2002.1437 0.149678
2002.1465 0.160195
2002.1492 0.158984
2002.1520 0.154974
2002.1547 0.156187
2002.1574 0.159032
2002.1602 0.151871
2002.1629 0.161149
2002.1656 0.161257
2002.1684 0.157734
2002.1711 0.155668
2002.1739 0.158288
2002.1766 0.156442
2002.1793 0.163148
2002.1821 0.168290
2002.1848 0.167259
2002.1875 0.163243
2002.1903 0.160731
2002.1930 0.161116
2002.1958 0.161258
2002.1985 0.149171
2002.2012 0.154428
2002.2040 0.166346
2002.2067 0.166704
2002.2094 0.153462
2002.2122 0.153405
2002.2149 0.154332
2002.2177 0.159866
2002.2204 0.166291
2002.2231 0.163154
2002.2259 0.163751
2002.2286 0.166791
2002.2313 0.162734
2002.2341 0.154554
2002.2368 0.153530
2002.2396 0.172197
2002.2423 0.171109
2002.2450 0.166464
2002.2478 0.159632
2002.2505 0.152424
2002.2533 0.148456
2002.2560 0.150495
2002.2587 0.149468
2002.2615 0.145988
2002.2642 0.145330
2002.2669 0.148025
2002.2697 0.151816
2002.2724 0.161580
2002.2752 0.158989
2002.2779 0.148420
2002.2806 0.153337
2002.2834 0.152360
2002.2861 0.156225
2002.2888 0.155630
2002.2916 0.164306
2002.2943 0.159564
2002.2971 0.151489
2002.2998 0.150568
2002.3025 0.150557
2002.3053 0.157238
2002.3080 0.160097
2002.3107 0.148210
2002.3135 0.158942
2002.3162 0.162767
2002.3190 0.159076
2002.3217 0.147443
2002.3244 0.149760
2002.3272 0.142303
2002.3299 0.143311
2002.3326 0.140988
2002.3354 0.149435
2002.3381 0.151166
2002.3409 0.155308
2002.3436 0.149795
2002.3463 0.155620
2002.3491 0.155469
2002.3518 0.154947
2002.3546 0.146577
2002.3573 0.154343
2002.3600 0.157837
2002.3628 0.163506
2002.3655 0.156754
2002.3682 0.158247
2002.3710 0.151571
2002.3737 0.151511
2002.3765 0.149304
2002.3792 0.158747
2002.3819 0.159467
2002.3847 0.161517
2002.3874 0.149660
2002.3901 0.157464
2002.3929 0.156176
2002.3956 0.154030
2002.3984 0.158190
2002.4011 0.159055
2002.4038 0.160198
2002.4066 0.163745
2002.4093 0.163488
2002.4120 0.160571
2002.4148 0.167081
2002.4175 0.162613
2002.4203 0.161124
2002.4230 0.156674
2002.4257 0.158180
2002.4285 0.156432
2002.4312 0.163681
2002.4339 0.161440
2002.4367 0.169467
2002.4394 0.166334
2002.4422 0.159822
2002.4449 0.161948
2002.4476 0.164771
2002.4504 0.158330
2002.4531 0.168619
2002.4559 0.163017
2002.4586 0.165810
2002.4613 0.164236
2002.4641 0.160854
2002.4668 0.167682
2002.4695 0.157309
2002.4723 0.173471
2002.4750 0.172419
2002.4778 0.158051
2002.4805 0.174707
2002.4832 0.159443
2002.4860 0.166934
2002.4887 0.162425
2002.4914 0.168060
2002.4942 0.168156
2002.4969 0.161381
2002.4997 0.158305
2002.5024 0.162622
2002.5051 0.164320
2002.5079 0.157106
2002.5106 0.159577
2002.5133 0.156433
2002.5161 0.164427
2002.5188 0.159306
2002.5216 0.164852
2002.5243 0.163414
2002.5270 0.155386
2002.5298 0.165138
2002.5325 0.159713
2002.5352 0.170456
2002.5380 0.162957
2002.5407 0.163327
2002.5435 0.164706
2002.5462 0.166913
2002.5489 0.168786
2002.5517 0.157800
2002.5544 0.160040
2002.5572 0.161336
2002.5599 0.155758
2002.5626 0.155108
2002.6639 0.154958
2002.6667 0.159612
2002.6694 0.168330
2002.6721 0.161545
2002.6749 0.163578
2002.6776 0.162840
2002.6804 0.150888
2002.6831 0.150871
2002.6858 0.152504
2002.6886 0.152452
2002.6913 0.158460
2002.6940 0.165457
2002.6968 0.167789
2002.6995 0.164558
2002.7023 0.159702
2002.7050 0.154258
2002.7077 0.157155
2002.7105 0.159531
2002.7132 0.166766
2002.7159 0.160211
2002.7187 0.164993
2002.7214 0.164146
2002.7242 0.164103
2002.7269 0.155440
2002.7296 0.166075
2002.7324 0.165513
2002.7351 0.166069
2002.7379 0.171417
2002.7406 0.162657
2002.7433 0.170709
2002.7461 0.167038
2002.7488 0.165118
2002.7515 0.161287
2002.7543 0.169467
2002.7570 0.166987
2002.7598 0.166546
2002.7625 0.161413
2002.7652 0.163099
2002.7680 0.158279
2002.7707 0.157152
2002.7734 0.163176
2002.7762 0.167803
2002.7789 0.161426
2002.7817 0.171327
2002.7844 0.158451
2002.7871 0.154592
2002.7899 0.155021
2002.7926 0.155978
2002.7953 0.158679
2002.7981 0.160559
2002.8008 0.160432
2002.8036 0.169673
2002.8063 0.164930
2002.8090 0.166747
2002.8118 0.165606
2002.8145 0.161560
2002.8172 0.158620
2002.8200 0.157915
2002.8227 0.161850
2002.8255 0.163004
2002.8282 0.162021
2002.8309 0.169813
2002.8337 0.167423
2002.8364 0.170009
2002.8392 0.162561
2002.8419 0.159023
2002.8446 0.168979
2002.8474 0.164833
2002.8501 0.160717
2002.8528 0.154991
2002.8556 0.152045
2002.8583 0.154664
2002.8611 0.164794
2002.8638 0.168061
2002.8665 0.170547
2002.8693 0.169064
2002.8720 0.161452
2002.8747 0.150058
2002.8775 0.151964
2002.8802 0.153995
2002.8830 0.154226
2002.8857 0.158933
2002.8884 0.155173
2002.8912 0.154486
2002.8939 0.152279
2002.8966 0.159907
2002.8994 0.161416
2002.9021 0.154881
2002.9049 0.154161
2002.9076 0.153915
2002.9103 0.158869
2002.9131 0.154286
2002.9158 0.158428
2002.9185 0.149323
2002.9213 0.148579
2002.9240 0.149904
2002.9268 0.144094
2002.9295 0.146646
2002.9322 0.154435
2002.9350 0.158607
2002.9377 0.162558
2002.9405 0.156640
2002.9432 0.151290
2002.9459 0.149478
2002.9487 0.150286
2002.9514 0.150622
2002.9541 0.147653
2002.9569 0.144894
2002.9596 0.151791
2002.9624 0.149804
2002.9651 0.150755
2002.9678 0.149074
2002.9706 0.153946
2002.9733 0.153655
2002.9760 0.163572
2002.9788 0.160596
2002.9815 0.156105
2002.9843 0.155734
2002.9870 0.154346
2002.9897 0.148736
2002.9925 0.146464
2002.9952 0.141101
2002.9979 0.144229
2003.0007 0.155909
2003.0034 0.159129
2003.0062 0.154932
2003.0089 0.158338
2003.0116 0.162444
2003.0144 0.159278
2003.0171 0.160947
2003.0198 0.160150
2003.0226 0.159668
2003.0253 0.161616
2003.0281 0.153034
2003.0308 0.159301
2003.0335 0.157633
2003.0363 0.157551
2003.0390 0.154407
2003.0418 0.149421
2003.0445 0.150183
2003.0472 0.155937
2003.0500 0.152151
2003.0527 0.156692
2003.0554 0.156871
2003.0582 0.145891
2003.0609 0.140546
2003.0637 0.145483
2003.0664 0.149137
2003.0691 0.152927
2003.0719 0.147648
2003.0746 0.152035
2003.0773 0.159189
2003.0801 0.156646
2003.0828 0.148597
2003.0856 0.155099
2003.0883 0.155631
2003.0910 0.150417
2003.0938 0.155970
2003.0965 0.149433
2003.0992 0.148518
2003.1020 0.140235
2003.1047 0.135797
2003.1075 0.137882
2003.1102 0.143113
2003.1129 0.148829
2003.1157 0.152992
2003.1184 0.154387
2003.1211 0.151330
2003.1239 0.152942
2003.1266 0.147753
2003.1294 0.148231
2003.1321 0.147197
2003.1348 0.149144
2003.1376 0.153329
2003.1403 0.153114
2003.1431 0.142739
2003.1458 0.142204
2003.1485 0.146345
2003.1513 0.139120
2003.1540 0.148211
2003.1567 0.150850
2003.1595 0.145338
2003.1622 0.148439
2003.1650 0.152924
2003.1677 0.146879
2003.1704 0.144427
2003.1732 0.143963
2003.1759 0.138912
2003.1786 0.146636
2003.1814 0.148001
2003.1841 0.152188
2003.1869 0.145930
2003.1896 0.140503
2003.1923 0.141757
2003.1951 0.141075
2003.1978 0.145999
2003.2005 0.152136
2003.2033 0.152368
2003.2060 0.155671
2003.2088 0.162096
2003.2115 0.151285
2003.2142 0.159100
2003.2170 0.156318
2003.2197 0.158579
2003.2225 0.150477
2003.2252 0.157165
2003.2279 0.153624
2003.2307 0.160301
2003.2334 0.167779
2003.2361 0.167850
2003.2389 0.163983
2003.2416 0.158749
2003.2444 0.158893
2003.2471 0.153719
2003.2498 0.157112
2003.2526 0.151908
2003.2553 0.152708
2003.2580 0.164203
2003.2608 0.158944
2003.2635 0.153171
2003.2663 0.154829
2003.2690 0.154746
2003.2717 0.160218
2003.2745 0.151152
2003.2772 0.150584
2003.2799 0.152813
2003.2827 0.151248
2003.2854 0.139220
2003.2882 0.140325
2003.2909 0.144771
2003.2936 0.154068
2003.2964 0.159203
2003.2991 0.150594
2003.3018 0.159838
2003.3046 0.162571
2003.3073 0.160770
2003.3101 0.161138
2003.3128 0.164733
2003.3155 0.161425
2003.3183 0.168184
2003.3210 0.165472
2003.3238 0.158804
2003.3265 0.156383
2003.3292 0.158336
2003.3320 0.151897
2003.3347 0.161087
2003.3374 0.160203
2003.3402 0.153589
2003.3429 0.151221
2003.3457 0.155652
2003.3484 0.156163
2003.3511 0.155339
2003.3539 0.156411
2003.3566 0.146014
2003.3593 0.154491
2003.3621 0.157449
2003.3648 0.157716
2003.3676 0.158573
2003.3703 0.162546
2003.3730 0.158750
2003.3758 0.160054
2003.3785 0.165578
2003.3812 0.158311
2003.3840 0.156593
2003.3867 0.161234
2003.3895 0.153923
2003.3922 0.154808
2003.3949 0.163755
2003.3977 0.164639
2003.4004 0.168998
2003.4031 0.162412
2003.4059 0.163512
2003.4086 0.166161
2003.4114 0.164253
2003.4141 0.173463
2003.4168 0.168938
2003.4196 0.160594
2003.4223 0.166415
2003.4251 0.165898
2003.4278 0.171752
2003.4305 0.169001
2003.4333 0.169798
2003.4360 0.166881
2003.4387 0.164056
2003.4415 0.166344
2003.4442 0.163341
2003.4470 0.163637
2003.4497 0.171247
2003.4524 0.166735
2003.4552 0.178086
2003.4579 0.171440
2003.4606 0.166991
2003.4634 0.165965
2003.4661 0.166030
2003.4689 0.171476
2003.4716 0.166583
2003.4743 0.161674
2003.4771 0.166021
2003.4798 0.168578
2003.4825 0.167015
2003.4853 0.165055
2003.4880 0.166309
2003.4908 0.165482
2003.4935 0.174472
2003.4962 0.170949
2003.4990 0.161974
2003.5017 0.165055
2003.5044 0.169959
2003.5072 0.171716
2003.5099 0.177549
2003.5127 0.176195
2003.5154 0.172529
2003.5181 0.171570
2003.5209 0.172081
2003.5236 0.168678
2003.5264 0.166911
2003.5291 0.163128
2003.5318 0.159104
2003.5346 0.168933
2003.5373 0.163763
2003.5400 0.164674
2003.5428 0.172871
2003.5455 0.165370
2003.5483 0.167492
2003.5510 0.170503
2003.5537 0.176671
2003.5565 0.172509
2003.5592 0.161689
2003.5619 0.157195
2003.5647 0.157230
2003.5674 0.158915
2003.5702 0.161291
2003.5729 0.159316
2003.5756 0.154952
2003.5784 0.166753
2003.5811 0.160964
2003.5838 0.160071
2003.5866 0.160520
2003.5893 0.159828
2003.5921 0.154357
2003.5948 0.153307
2003.5975 0.164450
2003.6003 0.153100
2003.6030 0.164743
2003.6057 0.168378
2003.6085 0.160203
2003.6112 0.156713
2003.6140 0.160126
2003.6167 0.163739
2003.6194 0.158509
2003.6222 0.167830
2003.6249 0.177670
2003.6277 0.167999
2003.6304 0.169199
2003.6331 0.166837
2003.6359 0.170079
2003.6386 0.163163
2003.6413 0.162856
2003.6441 0.169211
2003.6468 0.175360
2003.6496 0.168546
2003.6523 0.166126
2003.6550 0.164245
2003.6578 0.166458
2003.6605 0.167608
2003.6632 0.168460
2003.6660 0.164906
2003.6687 0.167082
2003.6715 0.165411
2003.6742 0.164380
2003.6769 0.165458
2003.6797 0.169759
2003.6824 0.172283
2003.6851 0.171124
2003.6879 0.174954
2003.6906 0.158047
2003.6934 0.165205
2003.6961 0.167088
2003.6988 0.165599
2003.7016 0.160714
2003.7043 0.157091
2003.7070 0.158187
2003.7098 0.166322
2003.7125 0.165362
2003.7153 0.168885
2003.7180 0.171962
2003.7207 0.168776
2003.7235 0.168680
2003.7262 0.152321
2003.7290 0.151721
2003.7317 0.147986
2003.7344 0.150600
2003.7372 0.154134
2003.7399 0.153460
2003.7426 0.153094
2003.7454 0.159761
2003.7481 0.156547
2003.7509 0.160698
2003.7536 0.152853
2003.7563 0.160526
2003.7591 0.156987
2003.7618 0.160079
2003.7645 0.156598
2003.7673 0.154855
2003.7700 0.157486
2003.7728 0.152066
2003.7755 0.157799
2003.7782 0.155972
2003.7810 0.154291
2003.7837 0.159665
2003.7864 0.161407
2003.7892 0.161826
2003.7919 0.160330
2003.7947 0.156191
2003.7974 0.163844
2003.8001 0.167094
2003.8029 0.165642
2003.8056 0.157876
2003.8084 0.166718
2003.8111 0.173101
2003.8138 0.167126
2003.8166 0.174104
2003.8193 0.164328
2003.8220 0.167625
2003.8248 0.166047
2003.8275 0.160750
2003.8303 0.156103
2003.8330 0.160033
2003.8357 0.156614
2003.8385 0.153191
2003.8412 0.152564
2003.8439 0.145771
2003.8467 0.152290
2003.8494 0.149329
2003.8522 0.158900
2003.8549 0.152036
2003.8576 0.157620
2003.8604 0.164242
2003.8631 0.160547
2003.8658 0.157383
2003.8686 0.160680
2003.8713 0.148130
2003.8741 0.153679
2003.8768 0.146303
2003.8795 0.143724
2003.8823 0.150328
2003.8850 0.152461
2003.8877 0.155089
2003.8905 0.157647
2003.8932 0.157469
2003.8960 0.151765
2003.8987 0.141006
2003.9014 0.144739
2003.9042 0.149167
2003.9069 0.146510
2003.9097 0.143733
2003.9124 0.146650
2003.9151 0.152178
2003.9179 0.153715
2003.9206 0.147760
2003.9233 0.152021
2003.9261 0.156460
2003.9288 0.160124
2003.9316 0.162604
2003.9343 0.166530
2003.9370 0.166604
2003.9398 0.160379
2003.9425 0.152101
2003.9452 0.145619
2003.9480 0.147713
2003.9507 0.152093
2003.9535 0.149064
2003.9562 0.153573
2003.9589 0.157044
2003.9617 0.162754
2003.9644 0.160855
2003.9671 0.166522
2003.9699 0.156732
2003.9726 0.154906
2003.9754 0.151010
2003.9781 0.154179
2003.9808 0.158114
2003.9836 0.155020
2003.9863 0.157460
2003.9890 0.154726
2003.9918 0.156900
2003.9945 0.153402
2003.9973 0.155522
2004.0000 0.154939
2004.0027 0.156774
2004.0055 0.155092
2004.0082 0.152663
2004.0110 0.152457
2004.0137 0.154877
2004.0164 0.151103
2004.0192 0.154559
2004.0219 0.150172
2004.0246 0.149849
2004.0274 0.156722
2004.0301 0.151868
2004.0329 0.149481
2004.0356 0.147773
2004.0383 0.147315
2004.0411 0.148245
2004.0438 0.148795
2004.0465 0.151233
2004.0493 0.151585
2004.0520 0.158034
2004.0548 0.152438
2004.0575 0.153649
2004.0602 0.157247
2004.0630 0.155413
2004.0657 0.159546
2004.0684 0.151115
2004.0712 0.147362
2004.0739 0.145122
2004.0767 0.146234
2004.0794 0.138442
2004.0821 0.137760
2004.0849 0.142078
2004.0876 0.145671
2004.0903 0.144978
2004.0931 0.147406
2004.0958 0.152360
2004.0986 0.150800
2004.1013 0.155042
2004.1040 0.154910
2004.1068 0.154986
2004.1095 0.150417
2004.1123 0.148048
2004.1150 0.159812
2004.1177 0.150788
2004.1205 0.143715
2004.1232 0.157990
2004.1259 0.161390
2004.1287 0.154709
2004.1314 0.147518
2004.1342 0.143824
2004.1369 0.148407
2004.1396 0.146158
2004.1424 0.144139
2004.1451 0.150963
2004.1478 0.153804
2004.1506 0.153039
2004.1533 0.148854
2004.1561 0.151054
2004.1588 0.146117
2004.1615 0.150346
2004.1643 0.148007
2004.1670 0.149541
2004.1697 0.151982
2004.1725 0.151087
2004.1752 0.154556
2004.1780 0.164002
2004.1807 0.161621
2004.1834 0.157545
2004.1862 0.151962
2004.1889 0.148106
2004.1916 0.159200
2004.1944 0.153596
2004.1971 0.155296
2004.1999 0.144179
2004.2026 0.146273
2004.2053 0.150638
2004.2081 0.155291
2004.2108 0.149833
2004.2136 0.152097
2004.2163 0.158060
2004.2190 0.151380
2004.2218 0.152370
2004.2245 0.157338
2004.2272 0.155642
2004.2300 0.150904
2004.2327 0.144931
2004.2355 0.147879
2004.2382 0.150083
2004.2409 0.154392
2004.2437 0.156343
2004.2464 0.158584
2004.2491 0.162938
2004.2519 0.163605
2004.2546 0.151301
2004.2574 0.157065
2004.2601 0.161793
2004.2628 0.159987
2004.2656 0.152455
2004.2683 0.159995
2004.2710 0.152561
2004.2738 0.144746
2004.2765 0.149277
2004.2793 0.161132
2004.2820 0.158454
2004.2847 0.167551
2004.2875 0.169042
2004.2902 0.167826
