%yyyy.yyyy ___up(m)
2008.6215 0.868293
2008.6242 0.856556
2008.6270 0.865439
2008.6297 0.882879
2008.6324 0.876794
2008.6352 0.863701
2008.6379 0.872795
2008.6407 0.884972
2008.6434 0.881007
2008.6461 0.879752
2008.6489 0.869715
2008.6516 0.874754
2008.6543 0.885419
2008.6571 0.870928
2008.6598 0.887355
2008.6626 0.897358
2008.6653 0.887926
2008.6680 0.889347
2008.6708 0.895388
2008.6735 0.885990
2008.6762 0.888960
2008.6790 0.889820
2008.6817 0.891715
2008.6845 0.892096
2008.6872 0.881396
2008.6899 0.893269
2008.6927 0.897488
2008.6954 0.893917
2008.6982 0.885614
2008.7009 0.896124
2008.7036 0.899654
2008.7064 0.895190
2008.7091 0.898162
2008.7118 0.891802
2008.7146 0.899053
2008.7173 0.891599
2008.7201 0.896667
2008.7228 0.906025
2008.7255 0.894850
2008.7283 0.904544
2008.7310 0.912653
2008.7337 0.906145
2008.7365 0.908580
2008.7392 0.915730
2008.7420 0.896389
2008.7447 0.894849
2008.7474 0.912899
2008.7502 0.909065
2008.7529 0.899906
2008.7556 0.905661
2008.7584 0.906473
2008.7611 0.916461
2008.7639 0.909644
2008.7666 0.890696
2008.7693 0.902419
2008.7721 0.902669
2008.7748 0.901763
2008.7775 0.907135
2008.7803 0.900420
2008.7830 0.908613
2008.7858 0.896184
2008.7885 0.906345
2008.7912 0.894499
2008.7940 0.909010
2008.7967 0.907326
2008.7995 0.897378
2008.8022 0.905238
2008.8049 0.908422
2008.8077 0.932415
2008.8104 0.893891
2008.8131 0.915540
2008.8159 0.918374
2008.8186 0.906389
2008.8214 0.900566
2008.8241 0.916395
2008.8268 0.912123
2008.8296 0.910763
2008.8323 0.901076
2008.8350 0.900581
2008.8378 0.911235
2008.8405 0.915272
2008.8433 0.909657
2008.8460 0.906452
2008.8487 0.904931
2008.8515 0.907912
2008.8542 0.908275
2008.8569 0.903773
2008.8597 0.905273
2008.8624 0.899736
2008.8652 0.908345
2008.8679 0.910262
2008.8706 0.906786
2008.8734 0.899262
2008.8761 0.906968
2008.8789 0.926616
2008.8816 0.900726
2008.8843 0.912574
2008.8871 0.901992
2008.8898 0.900061
2008.8925 0.898724
2008.8953 0.910979
2008.8980 0.892444
2008.9008 0.904277
2008.9035 0.893698
2008.9062 0.895836
2008.9090 0.888616
2008.9117 0.912029
2008.9144 0.899036
2008.9172 0.903354
2008.9199 0.898024
2008.9227 0.890490
2008.9254 0.899699
2008.9281 0.894416
2008.9309 0.896804
2008.9336 0.897008
2008.9363 0.887401
2008.9391 0.897661
2008.9418 0.889629
2008.9446 0.908029
2008.9473 0.897157
2008.9500 0.901439
2008.9528 0.895097
2008.9555 0.898297
2008.9582 0.896891
2008.9610 0.890915
2008.9637 0.897654
2008.9665 0.897806
2008.9692 0.890815
2008.9719 0.900818
2008.9747 0.897172
2008.9774 0.898023
2008.9802 0.903850
2008.9829 0.895576
2008.9856 0.903141
2008.9884 0.892627
2008.9911 0.895092
2008.9938 0.895453
2008.9966 0.884339
2008.9993 0.895904
2009.0103 0.895664
2009.0130 0.896326
2009.0157 0.891340
2009.0185 0.882881
2009.0212 0.879918
2009.0240 0.883520
2009.0267 0.883648
2009.0294 0.878113
2009.0322 0.886395
2009.0349 0.883355
2009.0376 0.879925
2009.0404 0.878988
2009.0431 0.884529
2009.0459 0.882820
2009.0486 0.872009
2009.0513 0.877106
2009.0541 0.873853
2009.0568 0.882275
2009.0595 0.875629
2009.0623 0.882051
2009.0650 0.875901
2009.0678 0.882492
2009.0705 0.879936
2009.0732 0.885914
2009.0760 0.878108
2009.0787 0.874082
2009.0815 0.873124
2009.0842 0.872422
2009.0869 0.871558
2009.0897 0.879689
2009.0924 0.871598
2009.0951 0.862663
2009.0979 0.869622
2009.1006 0.877518
2009.1034 0.871392
2009.1061 0.865618
2009.1088 0.872224
2009.1116 0.875597
2009.1143 0.869345
2009.1170 0.868889
2009.1198 0.872555
2009.1253 0.870303
2009.1280 0.875469
2009.1307 0.877184
2009.1335 0.874109
2009.1362 0.875730
2009.1389 0.872839
2009.1417 0.872069
2009.1444 0.867521
2009.1472 0.872444
2009.1499 0.867076
2009.1526 0.873310
2009.1554 0.869188
2009.1608 0.857744
2009.1636 0.866440
2009.1663 0.860761
2009.1691 0.869110
2009.1718 0.860679
2009.1745 0.867715
2009.1773 0.860163
2009.1800 0.861794
2009.1828 0.864142
2009.1855 0.859896
2009.1882 0.874618
2009.1910 0.865875
2009.1937 0.864911
2009.1964 0.865832
2009.1992 0.861004
2009.2019 0.873924
2009.2047 0.855747
2009.2074 0.862560
2009.2101 0.862651
2009.2129 0.858916
2009.2156 0.863813
2009.2183 0.874433
2009.2211 0.862780
2009.2238 0.862576
2009.2266 0.854752
2009.2293 0.847095
2009.2348 0.853934
2009.2375 0.862530
2009.2402 0.860214
2009.2430 0.852813
2009.2457 0.861715
2009.2485 0.856385
2009.2512 0.850166
2009.2539 0.864268
2009.2567 0.862634
2009.2594 0.855377
2009.2621 0.859114
2009.2649 0.848967
2009.2676 0.858034
2009.2704 0.848030
2009.2731 0.852197
2009.2758 0.842019
2009.2786 0.860446
2009.2813 0.851003
2009.2841 0.850265
2009.2868 0.860776
2009.2895 0.834717
2009.2923 0.853561
2009.2950 0.839795
2009.2977 0.854515
2009.3005 0.853988
2009.3032 0.849455
2009.3087 0.829342
2009.3114 0.858655
2009.3142 0.847545
2009.3169 0.848768
2009.3196 0.834922
2009.3224 0.839402
2009.3251 0.876378
2009.3279 0.847672
2009.3306 0.844314
2009.3333 0.836420
2009.3361 0.837963
2009.3388 0.843689
2009.3415 0.839257
2009.3443 0.842988
2009.3498 0.844467
2009.3525 0.853812
2009.3552 0.847193
2009.3580 0.844387
2009.3607 0.846711
2009.3634 0.840885
2009.3662 0.839757
2009.3689 0.848103
2009.3717 0.839553
2009.3744 0.841948
2009.3771 0.838538
2009.3799 0.846315
2009.3826 0.840082
2009.3854 0.845057
2009.3881 0.843794
2009.3908 0.843262
2009.4045 0.844680
2009.4073 0.847716
2009.4100 0.843061
2009.4127 0.834196
2009.4155 0.844778
2009.4182 0.851905
2009.4209 0.834542
2009.4237 0.844449
2009.4264 0.832884
2009.4292 0.846993
2009.4319 0.838500
2009.4346 0.836237
2009.4374 0.849330
2009.4401 0.838118
2009.4428 0.843831
2009.4456 0.838890
2009.4483 0.843259
2009.4511 0.832901
2009.4538 0.844874
2009.4593 0.847828
2009.4620 0.839683
2009.4648 0.831338
2009.4675 0.841505
2009.4702 0.837321
2009.4757 0.837564
2009.4812 0.840809
2009.4839 0.839777
2009.4867 0.838156
2009.4894 0.835273
2009.4949 0.838518
2009.4976 0.844262
2009.5003 0.841122
2009.5031 0.829755
2009.5058 0.844618
2009.5086 0.843687
2009.5113 0.840547
2009.5140 0.844580
2009.5168 0.842437
2009.5195 0.843619
2009.5222 0.853988
2009.5250 0.836719
2009.5277 0.833395
2009.5305 0.843020
2009.5332 0.838865
2009.5359 0.836242
2009.5387 0.842762
2009.5414 0.846532
2009.5441 0.841222
2009.5469 0.826102
2009.5496 0.848433
2009.5524 0.850676
2009.5551 0.846448
2009.5578 0.844530
2009.5606 0.853776
2009.5633 0.845857
2009.5661 0.859608
2009.5688 0.833658
2009.5715 0.858610
2009.5743 0.843165
2009.5770 0.850430
2009.5797 0.854361
2009.5825 0.845398
2009.5852 0.846336
2009.5880 0.854484
2009.5907 0.852715
2009.5934 0.856046
2009.5962 0.863436
2009.5989 0.855938
2009.6016 0.853297
2009.6044 0.859979
2009.6071 0.860079
2009.6099 0.852999
2009.6126 0.861788
2009.6153 0.863440
2009.6181 0.868620
2009.6208 0.869213
2009.6235 0.863271
2009.6263 0.857210
2009.6290 0.861260
2009.6318 0.866941
2009.6345 0.874791
2009.6372 0.862965
2009.6400 0.870373
2009.6427 0.879054
2009.6454 0.871489
2009.6482 0.881758
2009.6509 0.868890
2009.6537 0.865477
2009.6564 0.866340
2009.6591 0.880622
2009.6619 0.876124
2009.6646 0.879210
2009.6674 0.887873
2009.6701 0.880783
2009.6728 0.874795
2009.6756 0.885204
2009.6783 0.880218
2009.6810 0.884652
